Sc,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
2,Sp,1,0.388,ppn11,0.1992632519,0.9072249661,4.65108314266E-06,0.000004157
2,Sp,0,0.343,ppn11,0.1982293433,0.977594465,1.26051905647E-06,0.0052429726
2,Sp,1,0.553,ppn11,0.1587434178,0.79541193,0.0014717349,0.0120503665
2,Sp,1,0.615,ppn11,0.182955492,0.9148166064,0.0002002543,9.27468243011E-05
2,Sp,1,0.332,ppn11,0.217341206,0.765681047,0.0004094387,0.0194616573
2,Sp,1,0.455,ppn11,0.1754831989,0.8733952042,0.0004675721,0.0010106605
2,Sp,1,0.347,ppn11,0.2037696158,0.8752498541,4.43955809714E-05,0.0008961783
2,Sp,1,0.402,ppn11,0.223869498,0.753932451,0.0007162519,0.0228776637
2,Sp,1,0.626,ppn11,0.2202074599,1.0343340421,0.000533649,0.0166791932
2,Sp,1,0.472,ppn11,0.1982722765,1.085620789,1.35876696187E-06,0.0325566802
2,Sp,1,0.509,ppn11,0.1637987239,0.9631979882,0.0011094156,0.0033653802
2,Sp,1,0.461,ppn11,0.1634937972,1.007726862,0.0011298215,0.0105146097
2,Sp,1,0.484,ppn11,0.1853048851,0.9462756171,0.0001392808,0.0016883491
2,Sp,1,0.393,ppn11,0.1942037394,0.9163554521,8.42668617807E-06,0.0001247546
2,Sp,1,0.557,ppn11,0.2056712476,0.8953934841,7.33529332577E-05,9.58951525097E-05
2,Sp,1,0.512,ppn11,0.174004734,0.7361481268,0.0005336969,0.0285738334
2,Sp,1,0.534,ppn11,0.1835738602,1.0439399222,0.0001831354,0.0192526256
2,Sp,1,0.399,ppn11,0.1537390407,0.9967286491,0.0018807465,0.0083800399
2,Sp,1,0.514,ppn11,0.1961633531,0.9802367293,8.89742826448E-07,0.0056325983
2,Sp,1,0.512,ppn11,0.1586068958,1.092184271,0.0014822284,0.0349683193
2,Sp,1,0.481,ppn11,0.1737900538,0.9755747509,0.000543662,0.0049545634
2,Sp,1,0.462,ppn11,0.1699236025,1.0477720991,0.0007389162,0.0203307697
2,Sp,1,0.451,ppn11,0.2092165382,0.9005124076,0.0001466502,2.184331777E-05
2,Sp,1,0.434,ppn11,0.1558989375,0.9719355834,0.0016980727,0.0044554947
2,Sp,1,0.464,ppn11,0.2092493822,0.9569269401,0.0001474468,0.0026771155
2,Sp,1,0.517,ppn11,0.1808909996,0.9606896196,0.0002629462,0.0030806417
2,Sp,1,0.345,ppn11,0.1550211322,1.01341631,0.0017711879,0.0117137803
2,Sp,1,0.373,ppn11,0.2139874225,1.0252585108,0.0002849617,0.014417386
2,Sp,1,0.257,ppn11,0.2050691712,0.8273214744,6.34023028044E-05,0.0060628985
2,Sp,0,0.312,ppn11,0.1564785748,0.9367155514,0.0016506376,0.0009941069
2,Sp,1,0.398,ppn11,0.1745461811,0.8701497786,0.0005089732,0.0012275432
2,Sp,1,0.663,ppn11,0.200893106,0.8116221661,1.43375148379E-05,0.0087542081
2,Sp,1,0.51,ppn11,0.2110748844,0.8585817209,0.0001951126,0.0021719673
2,Sp,1,0.416,ppn11,0.167873229,1.1155641581,0.0008545909,0.0442589311
2,Sp,0,0.458,ppn11,0.2050927139,0.8271218443,6.37777772115E-05,0.0060940266
2,Sp,1,0.551,ppn11,0.185845878,0.9283376439,0.0001268042,0.0005359944
2,Sp,1,0.496,ppn11,0.1977910078,0.980667436,4.68393639315E-07,0.0056974334
2,Sp,1,0.478,ppn11,0.193278932,0.9878352044,1.46511563956E-05,0.0068308759
2,Sp,1,0.371,ppn11,0.1866890738,0.7136945464,0.0001085252,0.0366690117
2,Sp,1,0.275,ppn11,0.1713426473,0.8114199558,0.000663782,0.0087920881
2,Sp,1,0.407,ppn11,0.1878253698,0.9227595327,8.61415106369E-05,0.0003088258
2,Sp,0,0.304,ppn11,0.1999266486,0.7123201288,7.95259005984E-06,0.0371972794
2,Sp,1,0.371,ppn11,0.2229027639,0.7733349689,0.0006654413,0.0173847184
2,Sp,1,0.325,ppn11,0.1872936644,0.8398254314,0.000096294,0.0042720158
2,Sp,1,0.288,ppn11,0.1728264106,0.8785499542,0.0005895283,0.0007094838
2,Sp,1,0.379,ppn11,0.189644914,0.8081525006,0.000055677,0.0094155177
2,Sp,1,0.399,ppn11,0.1770520654,1.0292158241,0.000402185,0.0153833747
2,Sp,1,0.457,ppn11,0.1749841683,0.8251769104,0.0004894026,0.006401469
2,Sp,1,0.38,ppn11,0.1575942669,0.9688044276,0.0015612256,0.0040472927
