,dier,Sc,lmh,SpAc,stimulus,stimulus_recoded_01,resp,correct,rt,subj_idx,CE,SC,CE_c,SC_c,CE_squared,SC_squared
88,nD,1,low,Sp,2,0,0,1,0.611,ppn11,0.1356856147,0.7936617141,-0.0614210002,-0.111524377,0.0037725393,0.0124376867
89,nD,1,low,Sp,2,0,0,1,0.406,ppn11,0.1195707373,0.9571877973,-0.0775358776,0.0520017062,0.0060118123,0.0027041774
90,D,1,low,Sp,1,1,1,1,0.364,ppn11,0.0836072477,0.8027276681,-0.1134993672,-0.102458423,0.0128821064,0.0104977285
91,nD,1,low,Sp,2,0,0,1,0.874,ppn11,0.1331484991,1.0045757532,-0.0639581158,0.0993896621,0.0040906406,0.0098783049
92,nD,1,low,Sp,2,0,0,1,0.394,ppn11,0.1156288423,0.6915748553,-0.0814777726,-0.2136112358,0.0066386274,0.0456297601
93,D,1,low,Sp,1,1,0,0,0.442,ppn11,0.120974,0.9663199138,-0.0761326149,0.0611338227,0.0057961751,0.0037373443
94,nD,1,low,Sp,2,0,0,1,0.585,ppn11,0.0567697013,0.7488773242,-0.1403369136,-0.1563087669,0.0196944493,0.0244324306
95,nD,1,low,Sp,2,0,1,0,0.286,ppn11,0.1205191607,0.9839754501,-0.0765874542,0.078789359,0.0058656381,0.0062077631
96,D,1,low,Sp,1,1,1,1,0.39,ppn11,0.1337752205,1.0236023054,-0.0633313944,0.1184162143,0.0040108655,0.0140223998
97,D,1,low,Sp,1,1,1,1,0.385,ppn11,0.1311133994,1.1123274897,-0.0659932155,0.2071413986,0.0043551045,0.042907559
98,D,1,low,Sp,1,1,1,1,0.361,ppn11,0.1058769058,0.7361139184,-0.0912297091,-0.1690721727,0.0083228598,0.0285853996
99,nD,1,low,Sp,2,0,1,0,0.396,ppn11,0.1134446608,0.7611840511,-0.0836619541,-0.14400204,0.0069993226,0.0207365875
100,nD,1,low,Sp,2,0,0,1,0.58,ppn11,0.0756372128,0.7731850698,-0.1214694021,-0.1320010213,0.0147548156,0.0174242696
101,D,1,low,Sp,1,1,1,1,0.567,ppn11,0.0846361604,0.772561027,-0.1124704545,-0.1326250641,0.0126496031,0.0175894076
102,nD,1,low,Sp,2,0,0,1,0.655,ppn11,0.0967103541,0.9402231011,-0.1003962608,0.03503701,0.0100794092,0.0012275921
103,nD,1,low,Sp,2,0,0,1,0.344,ppn11,0.0868089934,0.9262270415,-0.1102976215,0.0210409504,0.0121655653,0.0004427216
104,D,1,low,Sp,1,1,1,1,0.367,ppn11,0.0814665104,0.812640496,-0.1156401045,-0.0925455951,0.0133726338,0.0085646872
105,nD,1,low,Sp,2,0,0,1,0.426,ppn11,0.0966112339,0.7299114,-0.100495381,-0.1752746911,0.0100993216,0.0307212174
106,D,1,low,Sp,1,1,1,1,0.419,ppn11,0.0946502975,0.8980125993,-0.1024563174,-0.0071734918,0.010497297,5.1459E-05
107,D,1,low,Sp,1,1,1,1,0.313,ppn11,0.124470551,0.7530290195,-0.0726360639,-0.1521570716,0.0052759978,0.0231517744
108,nD,1,low,Sp,2,0,0,1,0.489,ppn11,0.0672738545,0.7185207829,-0.1298327604,-0.1866653082,0.0168565457,0.0348439373
109,nD,1,low,Sp,2,0,1,0,0.922,ppn11,0.1315589602,1.1067632993,-0.0655476547,0.2015772082,0.004296495,0.0406333709
110,nD,1,low,Sp,2,0,0,1,0.636,ppn11,0.1266168518,0.9355941802,-0.0704897631,0.0304080891,0.0049688067,0.0009246519
111,D,1,low,Sp,1,1,1,1,0.323,ppn11,0.1156560959,0.7628333468,-0.081450519,-0.1423527443,0.006634187,0.0202643038
112,D,1,low,Sp,1,1,1,1,0.429,ppn11,0.0686767438,0.7745086526,-0.1284298711,-0.1306774385,0.0164942318,0.0170765929
113,D,1,low,Sp,1,1,1,1,0.222,ppn11,0.0665604372,0.7707123032,-0.1305461777,-0.1344737879,0.0170423045,0.0180831996
114,D,1,low,Sp,1,1,0,0,0.478,ppn11,0.1135520945,0.8918206182,-0.0835545204,-0.0133654729,0.0069813579,0.0001786359
115,D,1,low,Sp,1,1,1,1,0.558,ppn11,0.1320797448,0.7955398398,-0.0650268701,-0.1096462513,0.0042284938,0.0120223004
116,D,1,low,Sp,1,1,0,0,0.414,ppn11,0.1069818,0.8441271095,-0.0901248149,-0.0610589816,0.0081224823,0.0037281992
117,nD,1,low,Sp,2,0,0,1,0.579,ppn11,0.0936225928,0.8982120062,-0.1034840221,-0.0069740849,0.0107089428,4.86378606577E-05
118,nD,1,low,Sp,2,0,0,1,0.605,ppn11,0.0790023828,0.7417249678,-0.1181042321,-0.1634611233,0.0139486096,0.0267195388
119,D,1,low,Sp,1,1,1,1,0.566,ppn11,0.1225795445,0.8648701576,-0.0745270704,-0.0403159335,0.0055542842,0.0016253745
120,D,1,low,Sp,1,1,1,1,0.412,ppn11,0.120494944,0.9006171393,-0.0766116709,-0.0045689518,0.0058693481,2.08753208555E-05
121,D,1,low,Sp,1,1,1,1,0.497,ppn11,0.0790034979,0.7403148094,-0.118103117,-0.1648712817,0.0139483462,0.0271825395
122,D,1,low,Sp,1,1,1,1,0.533,ppn11,0.115646307,0.8635881344,-0.0814603079,-0.0415979567,0.0066357818,0.00173039
123,nD,1,low,Sp,2,0,0,1,0.539,ppn11,0.1157423374,1.0561171448,-0.0813642775,0.1509310537,0.0066201457,0.022780183
124,nD,1,low,Sp,2,0,0,1,0.535,ppn11,0.0895103379,0.9208023587,-0.107596277,0.0156162676,0.0115769588,0.0002438678
125,nD,1,low,Sp,2,0,0,1,0.583,ppn11,0.1269023516,0.7299503952,-0.0702042633,-0.1752356959,0.0049286386,0.0307075491
126,D,1,low,Sp,1,1,1,1,0.359,ppn11,0.0957806506,0.7171643175,-0.1013259643,-0.1880217736,0.010266951,0.0353521874
127,nD,1,low,Sp,2,0,0,1,0.453,ppn11,0.1240254429,0.7988178494,-0.073081172,-0.1063682417,0.0053408577,0.0113142028
128,D,1,low,Sp,1,1,1,1,0.39,ppn11,0.1276250063,0.8856209489,-0.0694816086,-0.0195651422,0.0048276939,0.0003827948
