Sc,lmh,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
1,low,Sp,1,0.392,ppn10,0.0798647824,0.618979855,0.1296829873,0.093174296
1,low,Sp,1,0.366,ppn10,0.1459671644,0.5123237069,0.0864435617,0.169662267
1,low,Sp,1,0.373,ppn10,0.1919195264,0.5876509739,0.0615340105,0.1132817414
1,low,Sp,1,0.297,ppn10,0.1257272865,0.529002666,0.0987547831,0.1562003016
1,low,Sp,1,0.384,ppn10,0.1758108933,0.4598859918,0.0697853297,0.2156102543
1,low,Sp,1,0.447,ppn10,0.1204304588,0.6136161081,0.1021119247,0.0964775759
1,low,Sp,1,0.336,ppn10,0.1936336909,0.6582537458,0.0606865159,0.0707404444
1,low,Sp,1,0.369,ppn10,0.1175962773,0.5026264281,0.1039312802,0.1777449379
1,low,Sp,0,0.486,ppn10,0.1956886753,0.5847851675,0.0596782631,0.1152190634
1,low,Sp,1,0.471,ppn10,0.0721094007,0.5753572762,0.1353287955,0.1217083429
1,low,Sp,1,0.464,ppn10,0.1639292262,0.6662093998,0.076204043,0.0665717942
1,low,Sp,1,0.507,ppn10,0.037459883,0.4730747728,0.162022464,0.2035360803
1,low,Sp,1,0.329,ppn10,0.2044220032,0.6094121145,0.0554875812,0.0991068408
1,low,Sp,0,0.338,ppn10,0.2227379809,0.6029987185,0.0471941053,0.1031860055
1,low,Sp,1,0.437,ppn10,0.0144352048,0.3733353824,0.1810883932,0.3034788247
1,low,Sp,1,0.499,ppn10,0.1489715103,0.6121789992,0.0846859551,0.0973723973
1,low,Sp,1,0.407,ppn10,0.0789794367,0.6049973784,0.1303214241,0.101905958
1,low,Sp,1,0.472,ppn10,0.2543906766,0.7181875083,0.0344434059,0.0424512438
1,low,Sp,1,0.37,ppn10,0.1075613959,0.602682374,0.1105021444,0.1033893416
1,low,Sp,1,0.352,ppn10,0.1163760452,0.4880863432,0.1047195351,0.1902164957
1,low,Sp,1,0.323,ppn10,0.2179348851,0.6576078545,0.0493040437,0.071084438
1,low,Sp,1,0.347,ppn10,0.2489856715,0.5507506675,0.0364788427,0.1394827069
1,low,Sp,1,0.334,ppn10,0.1408538573,0.473747812,0.0894764636,0.2029292504
1,low,Sp,1,0.366,ppn10,0.0214991408,0.3911729194,0.1751262497,0.2841439923
1,low,Sp,1,0.462,ppn10,0.2221783183,0.5499826355,0.047437583,0.1400569764
1,low,Sp,1,0.39,ppn10,0.1672298792,0.5338136243,0.0743926415,0.1524206553
1,low,Sp,1,0.313,ppn10,0.1364083501,0.6964207644,0.0921557612,0.051894544
1,low,Sp,1,0.329,ppn10,0.0821102806,0.6655200419,0.1280707533,0.0669279989
1,low,Sp,1,0.336,ppn10,0.148342669,0.7230144305,0.0850523469,0.0404854938
1,low,Sp,1,0.37,ppn10,0.2395774874,0.5404430735,0.0401611767,0.1472881867
1,low,Sp,1,0.399,ppn10,0.1313552281,0.5912554277,0.0952492647,0.110868406
1,low,Sp,0,0.36,ppn10,0.143683007,0.469393539,0.0877919223,0.2068712071
1,low,Sp,0,0.326,ppn10,0.2157239968,0.6476347143,0.0502907658,0.076501912
1,low,Sp,1,0.397,ppn10,0.1020433744,0.6128237328,0.1142011792,0.0969704406
2,med,Sp,1,0.945,ppn10,0.3418303985,1.01341631,0.009633349,0.0079551782
2,med,Sp,1,0.474,ppn10,0.4093420106,0.8585365064,0.0009386879,0.0043149131
2,med,Sp,1,0.4,ppn10,0.3450441421,0.9388719697,0.0090128217,0.0002145482
2,med,Sp,1,0.398,ppn10,0.3538098922,0.8421893424,0.0074252916,0.0067297678
2,med,Sp,1,0.347,ppn10,0.3850235249,0.9759346529,0.0030202168,0.0026739395
2,med,Sp,1,0.361,ppn10,0.4060559182,0.9257421534,0.001150845,2.30325848137E-06
2,med,Sp,1,0.481,ppn10,0.4408028451,1.0133584101,0.000000677,0.0079448531
2,med,Sp,1,0.353,ppn10,0.3907454974,0.8239102219,0.0024240386,0.0100629553
2,med,Sp,1,0.335,ppn10,0.353634488,0.835365416,0.0074555516,0.0078959376
2,med,Sp,1,0.381,ppn10,0.3216359457,0.8461124181,0.0140053209,0.006101498
2,med,Sp,1,0.474,ppn10,0.3832169362,1.0224440188,0.0032220481,0.009647073
2,med,Sp,1,0.316,ppn10,0.4091724538,0.8673183608,0.0009491064,0.0032383092
2,med,Sp,1,0.363,ppn10,0.4393867845,0.9072249661,3.51933189834E-07,0.0002889843
2,med,Sp,1,0.423,ppn10,0.3314724168,0.7920466656,0.0117739008,0.0174709811
2,med,Sp,1,0.414,ppn10,0.3836952101,1.0160218859,0.0031679803,0.0084267592
2,med,Sp,1,0.457,ppn10,0.3489910353,0.8671829195,0.0082789961,0.0032537424
2,med,Sp,1,0.348,ppn10,0.3848842398,0.8691848179,0.0030355454,0.0030293671
2,med,Sp,1,0.397,ppn10,0.4390919616,0.8745580368,7.88654954245E-07,0.002466758
2,med,Sp,1,0.529,ppn10,0.4632249076,0.8991585138,0.0005403246,0.0006283039
2,med,Sp,1,0.464,ppn10,0.4201525195,0.9759790195,0.0003931299,0.0026785298
2,med,Sp,1,0.422,ppn10,0.3232163803,0.8012729418,0.0136337485,0.0151170867
2,med,Sp,1,0.414,ppn10,0.3938609956,0.9089172473,0.0021269648,0.0002343121
2,med,Sp,1,0.334,ppn10,0.3937426693,0.9464677339,0.002137893,0.0004947613
2,med,Sp,1,0.449,ppn10,0.343103556,0.9289438395,0.0093850501,2.2272123768E-05
2,med,Sp,1,0.926,ppn10,0.4753874653,0.9398330349,0.0012536869,0.0002436262
2,med,Sp,1,0.445,ppn10,0.3346801631,0.8920623877,0.0110880607,0.0010344018
2,med,Sp,1,0.428,ppn10,0.5310479591,0.9392570837,0.0082933688,0.0002259784
2,med,Sp,1,0.347,ppn10,0.3954957553,0.8966698298,0.0019788502,0.0007592601
2,med,Sp,0,0.5,ppn10,0.4429807053,0.8092487034,9.00408783183E-06,0.0132194348
2,med,Sp,1,0.461,ppn10,0.3299407398,0.7937684997,0.0121086441,0.0170187692
2,med,Sp,1,0.314,ppn10,0.5180176357,0.7881324688,0.0060898688,0.0185210422
2,med,Sp,1,0.401,ppn10,0.5179472189,0.9705312376,0.0060788835,0.0021443135
2,med,Sp,1,0.387,ppn10,0.4576897861,0.8203290919,0.0003136357,0.0107942567
2,med,Sp,1,0.29,ppn10,0.4141656049,0.9231390436,0.0006663842,1.17822515251E-06
2,med,Sp,1,0.373,ppn10,0.428230272,0.9176524901,0.0001380567,4.31913719847E-05
2,med,Sp,1,0.424,ppn10,0.3465914304,1.0196009469,0.0087214294,0.0090966658
2,med,Sp,1,0.334,ppn10,0.4493235727,0.8796180725,8.73019009631E-05,0.0019897338
2,med,Sp,1,0.345,ppn10,0.4414294108,0.8251186973,2.10072188719E-06,0.009821961
2,med,Sp,1,0.386,ppn10,0.3734448375,0.8992852458,0.0044269311,0.0006219666
2,med,Sp,1,0.348,ppn10,0.3291496507,0.8439644532,0.0122833717,0.0064416758
2,med,Sp,1,0.321,ppn10,0.4067789088,0.9056830728,0.0011023141,0.0003437847
2,med,Sp,1,0.379,ppn10,0.5273239376,0.9311017104,0.0076289592,0.000047296
2,med,Sp,1,0.316,ppn10,0.4861444794,0.9375237569,0.0021311569,0.0001768701
2,med,Sp,1,0.358,ppn10,0.4841859947,1.0184727961,0.0019541678,0.0088827405
2,med,Sp,1,0.325,ppn10,0.3858500265,0.8251769104,0.0029300566,0.0098104259
2,med,Sp,1,0.372,ppn10,0.3475043067,0.9688044276,0.0085517583,0.0019873696
2,med,Sp,0,0.333,ppn10,0.4354713549,0.8748462513,2.03280977029E-05,0.0024382119
2,med,Sp,1,0.327,ppn10,0.4045758309,0.851864024,0.0012534569,0.0052360391
2,med,Sp,1,0.375,ppn10,0.3815655513,0.8112691523,0.0034122506,0.0127589116
2,med,Sp,1,0.34,ppn10,0.339682049,0.9223742114,0.0100596838,3.42358419296E-06
2,med,Sp,1,0.417,ppn10,0.3817489518,0.9872950045,0.0033908578,0.003977888
2,med,Sp,1,0.355,ppn10,0.3290294511,0.9000984439,0.0123100296,0.0005820668
2,med,Sp,1,0.323,ppn10,0.509839623,0.9290234797,0.0048803636,2.30301639116E-05
2,med,Sp,1,0.362,ppn10,0.4912222534,0.8419675893,0.0026257661,0.0067662001
2,med,Sp,1,0.38,ppn10,0.4384132796,0.9322545453,2.45468824067E-06,6.44815568248E-05
2,med,Sp,1,0.28,ppn10,0.344780112,0.9153143974,0.0090630233,0.00007939
2,med,Sp,1,0.336,ppn10,0.3970772992,0.8479069855,0.0018406438,0.0058243637
2,med,Sp,1,0.496,ppn10,0.4047907848,1.0214424599,0.0012382826,0.0094513309
2,med,Sp,1,0.486,ppn10,0.4726222225,0.9739990777,0.0010655131,0.0024775081
2,med,Sp,1,0.338,ppn10,0.3453423208,0.8606656571,0.0089562949,0.0040397271
2,med,Sp,1,0.336,ppn10,0.3869504173,0.87502986,0.0028121392,0.002420113
2,med,Sp,1,0.46,ppn10,0.399223847,0.9509399769,0.001661066,0.0007137165
2,med,Sp,1,0.407,ppn10,0.5180521663,0.9982484047,0.0060952594,0.0054795378
2,med,Sp,1,0.343,ppn10,0.5269072837,0.9381781427,0.0075563485,0.000194704
2,med,Sp,1,0.418,ppn10,0.4654321046,0.8590056379,0.0006478084,0.0042535005
2,med,Sp,1,0.396,ppn10,0.4098007131,0.9283376439,0.0009107908,1.69179165306E-05
2,med,Sp,1,0.328,ppn10,0.4665070613,0.898220246,0.0007036837,0.0006762215
2,med,Sp,1,0.349,ppn10,0.5082532541,0.9299505927,0.0046612339,3.27880871974E-05
2,med,Sp,1,0.338,ppn10,0.4029872242,0.901445655,0.0013684672,0.000518876
2,med,Sp,1,0.422,ppn10,0.3924480794,0.8991724713,0.0022592858,0.0006276044
2,med,Sp,1,0.38,ppn10,0.3916567764,0.9048537371,0.0023351363,0.0003752266
2,med,Sp,1,0.334,ppn10,0.3500382495,0.7923007816,0.0080895228,0.0174038686
